"ITTER107","Territory","TIPO_DATO5","Data type","AGRI_MADRE","Type of crop","TIME","Select time","Value","Flag Codes","Flags"
"ITE18","Arezzo","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2011","2011",3520,,
"ITE18","Arezzo","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2013","2013",300,,
"ITE18","Arezzo","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2014","2014",1175,,
"ITE18","Arezzo","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2015","2015",1098,,
"ITF62","Crotone","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2010","2010",25,"e","estimate data"
"ITF62","Crotone","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",31,"e","estimate data"
"ITF62","Crotone","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2012","2012",24,"e","estimate data"
"ITD55","Bologna","ART","total area - hectares","SOYA","soya beans","2010","2010",2700,,
"ITD55","Bologna","ART","total area - hectares","SOYA","soya beans","2011","2011",2600,,
"ITD55","Bologna","ART","total area - hectares","SOYA","soya beans","2012","2012",1700,,
"ITD55","Bologna","ART","total area - hectares","SOYA","soya beans","2013","2013",1530,,
"ITD55","Bologna","ART","total area - hectares","SOYA","soya beans","2014","2014",2014,,
"ITD55","Bologna","ART","total area - hectares","SOYA","soya beans","2015","2015",4165,,
"ITD35","Venezia","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2010","2010",1074200,,
"ITD35","Venezia","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",1180000,,
"ITD35","Venezia","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2012","2012",438940,,
"ITD35","Venezia","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2013","2013",1071720,,
"ITD35","Venezia","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2014","2014",1739780,,
"ITD35","Venezia","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2015","2015",1522661,,
